seed,method,rho,channel_rank,h,cfp_f1_percent,oct_f1_percent,mean_f1_percent,cfp_gain_vs_baseline_pp,oct_gain_vs_baseline_pp,mean_gain_vs_baseline_pp,best_epoch,stop_epoch,total_parameters,bridge_stored,bridge_effective,gpu_minutes,peak_process_mib,directory,summary_sha256
3416,Centered-fit SVD / scrambled Radon,1/8,32,1024,70.94063926940639,69.17760410110881,70.0591216852576,4.050258956207287,4.042150626432729,4.046204791320008,8,14,56921476,12582912,12582912,4.235574864533313,8012,/data/mengh/RadonBridge/runs/2026_09_05_10_09_52/seed3416_centered_svd_scrambled_rho1_8,9c96cb4ed697812c438150b0f2d5bc27ff7c33e0de99cd61e9a04a484f96def9
3416,Centered-fit SVD / linear resampling,1/8,32,1024,66.8903803131991,65.13545347467608,66.01291689393759,0.0,0.0,0.0,0,8,56921476,12582912,12582912,2.3725437782166408,8154,/data/mengh/RadonBridge/runs/2026_09_05_10_09_52/seed3416_centered_svd_resample_rho1_8,a95d4e93dbfe0f7f767b0edfaf44b052fa87ced99eac8b07969a9fb4fa311186
3416,Centered-fit SVD / Radon,1/4,64,2048,73.58956760466712,73.52779306549257,73.55868033507986,6.6991872914680215,8.39233959081649,7.54576344114227,7,13,94670212,50331648,50331648,7.3904338105333105,8144,/data/mengh/RadonBridge/runs/2026_09_05_10_09_52/seed3416_centered_svd_radon_rho1_4,6303ceb707ba4e079594cf3b5a797f74056fcb10df479045b4903488ee4d92af
3416,Centered-fit SVD / self only,1/4,64,2048,66.8903803131991,65.13545347467608,66.01291689393759,0.0,0.0,0.0,0,8,94670212,50331648,25165824,2.8353524038667577,8144,/data/mengh/RadonBridge/runs/2026_09_05_10_09_52/seed3416_centered_svd_self_rho1_4,8e739094f536a6dfe8d10e1f31bd5e4b37391fdfa015cd9b681e3950803a0f17
3416,Centered-fit SVD / scrambled Radon,1/4,64,2048,73.58956760466712,70.59166124224879,72.09061442345796,6.6991872914680215,5.456207767572707,6.077697529520378,7,13,94670212,50331648,50331648,4.449710387133382,8144,/data/mengh/RadonBridge/runs/2026_09_05_10_09_52/seed3416_centered_svd_scrambled_rho1_4,3b1546ed9a24fa85e5cecb6b129af89052f441ad2357f382b211452dd5ee4903
3416,Centered-fit SVD / linear resampling,1/4,64,2048,69.57236842105263,67.82277351214657,68.6975709665996,2.6819881078535275,2.687320037470485,2.6846540726620134,5,11,94670212,50331648,50331648,3.490729038516656,8096,/data/mengh/RadonBridge/runs/2026_09_05_10_09_52/seed3416_centered_svd_resample_rho1_4,e5da44bcaa2a3c288dd5011aae90ba3717e9fa1c6117cd159d18abceb93d5b22
3417,Centered-fit SVD / Radon,1/16,16,512,68.74627002708533,66.86769005847954,67.80698004278244,4.898632281243096,2.6801358421621444,3.789384061702634,18,24,47484292,3145728,3145728,11.151922025516615,7906,/data/mengh/RadonBridge/runs/2026_09_05_10_09_52/seed3417_centered_svd_radon_rho1_16,7410f307745600a21865365bbdf0f4514a4113999ae9bfea70b32bc9fa5f79bd
3417,Centered-fit SVD / self only,1/16,16,512,63.847637745842235,64.1875542163174,64.01759598107981,0.0,0.0,0.0,0,8,47484292,3145728,1572864,2.4600950658500853,7906,/data/mengh/RadonBridge/runs/2026_09_05_10_09_52/seed3417_centered_svd_self_rho1_16,513b5385e93be48e89b826d7b0cc70ba36407496a9ffb209ce521be645d03b85
3417,Centered-fit SVD / scrambled Radon,1/16,16,512,64.5266221537408,67.56756756756756,66.04709486065418,0.6789844078985681,3.38001335125017,2.0294988795743762,11,17,47484292,3145728,3145728,4.907856960966698,7906,/data/mengh/RadonBridge/runs/2026_09_05_10_09_52/seed3417_centered_svd_scrambled_rho1_16,8f3893d36a419580b52edf0cf62e3dc670a0b201d84e527efeb92ae741f3fd16
3417,Centered-fit SVD / linear resampling,1/16,16,512,63.847637745842235,64.1875542163174,64.01759598107981,0.0,0.0,0.0,0,8,47484292,3145728,3145728,2.282424186416756,7848,/data/mengh/RadonBridge/runs/2026_09_05_10_09_52/seed3417_centered_svd_resample_rho1_16,6033c97291da8203a04a79bb7a4bbb0eed8bf2e8d4e69c0d4b2c81049c266aa4
