subset,rho,contrast,branch,difference_pp,ci95_low,ci95_high
3416,1/8,channel_svd_resample__minus__svd_resample,cfp,-2.698660782691309,-6.760354334006334,1.3523797760508212
3416,1/8,channel_svd_resample__minus__svd_resample,oct,-0.3278272391193937,-5.097453217699361,4.40195511214332
3416,1/8,channel_svd_resample__minus__svd_resample,mean,-1.5132440109053513,-4.738298644665074,1.7403400319936806
3416,1/8,channel_svd_resample__minus__centered_svd_resample,cfp,0.0,0.0,0.0
3416,1/8,channel_svd_resample__minus__centered_svd_resample,oct,0.0,0.0,0.0
3416,1/8,channel_svd_resample__minus__centered_svd_resample,mean,0.0,0.0,0.0
3416,1/8,channel_svd_radon__minus__no_bridge,cfp,4.034327289140071,-0.9594880529320466,9.116219058087912
3416,1/8,channel_svd_radon__minus__no_bridge,oct,3.1077897685671596,-2.6438123946326377,9.004470147896006
3416,1/8,channel_svd_radon__minus__no_bridge,mean,3.571058528853616,-0.4232578206649029,7.617854042692149
3416,1/8,channel_svd_radon__minus__learned,cfp,1.283681961313543,-2.991020847459217,5.619556861420676
3416,1/8,channel_svd_radon__minus__learned,oct,-2.2891914468278207,-7.1044138086294035,2.4187864750477974
3416,1/8,channel_svd_radon__minus__learned,mean,-0.5027547427571388,-4.179479196682095,3.2329477893624383
3416,1/8,channel_svd_radon__minus__qr_radon,cfp,-0.2851423822129995,-4.119942319469418,3.606016788247368
3416,1/8,channel_svd_radon__minus__qr_radon,oct,-1.0103552135010796,-5.402804688641501,3.3871065203024555
3416,1/8,channel_svd_radon__minus__qr_radon,mean,-0.6477487978570395,-3.7625045202660403,2.541490384334152
3416,1/8,channel_svd_radon__minus__channel_svd_self,cfp,4.034327289140071,-0.9594880529320466,9.116219058087912
3416,1/8,channel_svd_radon__minus__channel_svd_self,oct,3.1077897685671596,-2.6438123946326377,9.004470147896006
3416,1/8,channel_svd_radon__minus__channel_svd_self,mean,3.571058528853616,-0.4232578206649029,7.617854042692149
3416,1/8,channel_svd_radon__minus__channel_svd_scrambled,cfp,-0.6852490087592478,-4.9663645693775935,3.5166023235216266
3416,1/8,channel_svd_radon__minus__channel_svd_scrambled,oct,0.4706227630415394,-4.422057390892087,5.390124978031331
3416,1/8,channel_svd_radon__minus__channel_svd_scrambled,mean,-0.10731312285885419,-3.6680166205657545,3.3922857481922337
3416,1/8,channel_svd_radon__minus__channel_svd_resample,cfp,4.034327289140071,-0.9594880529320466,9.116219058087912
3416,1/8,channel_svd_radon__minus__channel_svd_resample,oct,3.1077897685671596,-2.6438123946326377,9.004470147896006
3416,1/8,channel_svd_radon__minus__channel_svd_resample,mean,3.571058528853616,-0.4232578206649029,7.617854042692149
3416,1/4,channel_svd_radon__minus__svd_radon,cfp,-1.7052579661781642,-6.384626893898922,2.733916886329197
3416,1/4,channel_svd_radon__minus__svd_radon,oct,3.059970623093722,-1.408696540061483,7.467014360427237
3416,1/4,channel_svd_radon__minus__svd_radon,mean,0.6773563284577788,-3.3623917265945753,4.617064045270214
3416,1/4,channel_svd_radon__minus__centered_svd_radon,cfp,-2.3218525978723203,-6.687019372305921,1.96087147153995
3416,1/4,channel_svd_radon__minus__centered_svd_radon,oct,-0.9079705296057616,-4.995762820704639,3.1701362614233086
3416,1/4,channel_svd_radon__minus__centered_svd_radon,mean,-1.614911563739041,-5.219288304420278,1.9842201841823681
3416,1/4,channel_svd_self__minus__svd_self,cfp,0.0,0.0,0.0
3416,1/4,channel_svd_self__minus__svd_self,oct,0.0,0.0,0.0
3416,1/4,channel_svd_self__minus__svd_self,mean,0.0,0.0,0.0
3416,1/4,channel_svd_self__minus__centered_svd_self,cfp,0.0,0.0,0.0
3416,1/4,channel_svd_self__minus__centered_svd_self,oct,0.0,0.0,0.0
3416,1/4,channel_svd_self__minus__centered_svd_self,mean,0.0,0.0,0.0
3416,1/4,channel_svd_scrambled__minus__svd_scrambled,cfp,-0.30506029063177564,-4.41808622930475,3.870414009349109
3416,1/4,channel_svd_scrambled__minus__svd_scrambled,oct,-0.35091555526247653,-5.199619156437855,4.522213219907487
3416,1/4,channel_svd_scrambled__minus__svd_scrambled,mean,-0.3279879229471261,-3.985466057881447,3.3272879829278477
3416,1/4,channel_svd_scrambled__minus__centered_svd_scrambled,cfp,-5.417524593914447,-10.051776693107836,-1.001587726932531
3416,1/4,channel_svd_scrambled__minus__centered_svd_scrambled,oct,-0.43173822524839034,-5.595808572623396,4.664864090407102
3416,1/4,channel_svd_scrambled__minus__centered_svd_scrambled,mean,-2.9246314095814183,-7.037021990482965,1.079146108822687
3416,1/4,channel_svd_resample__minus__svd_resample,cfp,0.3847539787862231,-3.5118789759635316,4.331067179186837
3416,1/4,channel_svd_resample__minus__svd_resample,oct,1.71058781118254,-2.3889122733947286,5.752392470106578
3416,1/4,channel_svd_resample__minus__svd_resample,mean,1.0476708949843816,-1.794830198518924,3.972371840429381
3416,1/4,channel_svd_resample__minus__centered_svd_resample,cfp,0.0097279479813972,-4.024784877742283,4.048317052737993
3416,1/4,channel_svd_resample__minus__centered_svd_resample,oct,0.07933476687222996,-4.629463944200827,4.761503365498633
3416,1/4,channel_svd_resample__minus__centered_svd_resample,mean,0.04453135742681358,-2.910031002861156,3.0085253831069645
