subset,rho,mechanism,branch,centered_minus_uncentered_pp,ci95_low,ci95_high
3416,1/16,svd_radon,cfp,-2.041859714073335,-6.0769866937356705,1.8438670369395318
3416,1/16,svd_radon,oct,-1.3385339536476804,-5.779955470238569,3.24770014171636
3416,1/16,svd_radon,mean,-1.6901968338605078,-4.915193660958535,1.4777597157007887
3416,1/16,svd_self,cfp,0.0,0.0,0.0
3416,1/16,svd_self,oct,0.0,0.0,0.0
3416,1/16,svd_self,mean,0.0,0.0,0.0
3416,1/16,svd_scrambled,cfp,1.1588090953407182,-2.9045886992768826,5.340872739496602
3416,1/16,svd_scrambled,oct,2.3918325039561816,-1.9301064478673888,6.554211248892557
3416,1/16,svd_scrambled,mean,1.77532079964845,-1.2724823007085642,4.775708414478218
3416,1/16,svd_resample,cfp,0.0,0.0,0.0
3416,1/16,svd_resample,oct,0.0,0.0,0.0
3416,1/16,svd_resample,mean,0.0,0.0,0.0
3416,1/8,svd_radon,cfp,2.317161770714249,-1.5828370796912679,6.140219481661086
3416,1/8,svd_radon,oct,2.0276055759153255,-1.6882164840303873,5.745223510689677
3416,1/8,svd_radon,mean,2.172383673314787,-0.6230251142764112,5.112270481169492
3416,1/8,svd_self,cfp,0.0,0.0,0.0
3416,1/8,svd_self,oct,0.0,0.0,0.0
3416,1/8,svd_self,mean,0.0,0.0,0.0
3416,1/8,svd_scrambled,cfp,2.698845907766434,-1.3486256941781583,6.76526502493721
3416,1/8,svd_scrambled,oct,-0.03663671265197177,-4.735160850463717,4.729961867987052
3416,1/8,svd_scrambled,mean,1.331104597557231,-2.0690886398007304,4.6833104253907525
3416,1/8,svd_resample,cfp,-2.698660782691309,-6.760354334006334,1.3523797760508212
3416,1/8,svd_resample,oct,-0.3278272391193937,-5.097453217699361,4.40195511214332
3416,1/8,svd_resample,mean,-1.5132440109053513,-4.738298644665074,1.7403400319936806
3416,1/4,svd_radon,cfp,0.6165946316941562,-4.079794376005394,5.109804840452462
3416,1/4,svd_radon,oct,3.9679411526994834,-0.8466439127889979,8.794095191654888
3416,1/4,svd_radon,mean,2.29226789219682,-1.9079681368810422,6.322562584968878
3416,1/4,svd_self,cfp,0.0,0.0,0.0
3416,1/4,svd_self,oct,0.0,0.0,0.0
3416,1/4,svd_self,mean,0.0,0.0,0.0
3416,1/4,svd_scrambled,cfp,5.112464303282671,0.9344549364826008,9.518569447921916
3416,1/4,svd_scrambled,oct,0.08082266998591381,-4.422585825480968,4.476468583013685
