arm,seed,r,stages,phase,split,source,bridge,C,rho,h,M,S,k,group,participants,metric,mean,sample_sd,defined_participants,undefined_participants
svd_radon,3416,16,[3],constructed_initial,validation,cfp_stage3,0,256,0.0625,512,32,64,3,all,296,cross_relative,0.0,0.0,296,0
svd_radon,3416,16,[3],constructed_initial,validation,cfp_stage3,0,256,0.0625,512,32,64,3,all,296,total_relative,0.0,0.0,296,0
svd_radon,3416,16,[3],constructed_initial,validation,cfp_stage3,0,256,0.0625,512,32,64,3,all,296,self_cross_cosine,,,0,296
svd_radon,3416,16,[3],constructed_initial,validation,cfp_stage3,0,256,0.0625,512,32,64,3,all,296,energy_identity_relative_error,0.0,0.0,296,0
svd_radon,3416,16,[3],constructed_initial,validation,cfp_stage3,0,256,0.0625,512,32,64,3,all,296,channel_energy_retained,0.6511995204556743,0.02437543916914782,296,0
svd_radon,3416,16,[3],constructed_initial,validation,cfp_stage3,0,256,0.0625,512,32,64,3,label0,148,self_relative,0.0,0.0,148,0
svd_radon,3416,16,[3],constructed_initial,validation,cfp_stage3,0,256,0.0625,512,32,64,3,label0,148,cross_relative,0.0,0.0,148,0
svd_radon,3416,16,[3],constructed_initial,validation,cfp_stage3,0,256,0.0625,512,32,64,3,label0,148,total_relative,0.0,0.0,148,0
svd_radon,3416,16,[3],constructed_initial,validation,cfp_stage3,0,256,0.0625,512,32,64,3,label0,148,self_cross_cosine,,,0,148
svd_radon,3416,16,[3],constructed_initial,validation,cfp_stage3,0,256,0.0625,512,32,64,3,label0,148,energy_identity_relative_error,0.0,0.0,148,0
svd_radon,3416,16,[3],constructed_initial,validation,cfp_stage3,0,256,0.0625,512,32,64,3,label0,148,channel_energy_retained,0.652599718587423,0.02396377830808441,148,0
svd_radon,3416,16,[3],constructed_initial,validation,cfp_stage3,0,256,0.0625,512,32,64,3,label1,148,self_relative,0.0,0.0,148,0
svd_radon,3416,16,[3],constructed_initial,validation,cfp_stage3,0,256,0.0625,512,32,64,3,label1,148,cross_relative,0.0,0.0,148,0
svd_radon,3416,16,[3],constructed_initial,validation,cfp_stage3,0,256,0.0625,512,32,64,3,label1,148,total_relative,0.0,0.0,148,0
svd_radon,3416,16,[3],constructed_initial,validation,cfp_stage3,0,256,0.0625,512,32,64,3,label1,148,self_cross_cosine,,,0,148
svd_radon,3416,16,[3],constructed_initial,validation,cfp_stage3,0,256,0.0625,512,32,64,3,label1,148,energy_identity_relative_error,0.0,0.0,148,0
svd_radon,3416,16,[3],constructed_initial,validation,cfp_stage3,0,256,0.0625,512,32,64,3,label1,148,channel_energy_retained,0.6497993223239253,0.024782161595601763,148,0
svd_radon,3416,16,[3],constructed_initial,validation,oct_stage3,0,256,0.0625,512,32,64,3,all,296,self_relative,0.0,0.0,296,0
svd_radon,3416,16,[3],constructed_initial,validation,oct_stage3,0,256,0.0625,512,32,64,3,all,296,cross_relative,0.0,0.0,296,0
svd_radon,3416,16,[3],constructed_initial,validation,oct_stage3,0,256,0.0625,512,32,64,3,all,296,total_relative,0.0,0.0,296,0
svd_radon,3416,16,[3],constructed_initial,validation,oct_stage3,0,256,0.0625,512,32,64,3,all,296,self_cross_cosine,,,0,296
svd_radon,3416,16,[3],constructed_initial,validation,oct_stage3,0,256,0.0625,512,32,64,3,all,296,energy_identity_relative_error,0.0,0.0,296,0
svd_radon,3416,16,[3],constructed_initial,validation,oct_stage3,0,256,0.0625,512,32,64,3,all,296,channel_energy_retained,0.6834710805973391,0.03663421645787291,296,0
svd_radon,3416,16,[3],constructed_initial,validation,oct_stage3,0,256,0.0625,512,32,64,3,label0,148,self_relative,0.0,0.0,148,0
svd_radon,3416,16,[3],constructed_initial,validation,oct_stage3,0,256,0.0625,512,32,64,3,label0,148,cross_relative,0.0,0.0,148,0
