defined,mean,metric,phase,sample_sd,seed,source,split,undefined
16,0.0014912078902315612,low_band_nrmse,selected,1.3312394007332608e-05,3416,oct,validation,0
16,0.004545968651669473,absolute_rmse,selected,0.0001923245151284373,3416,oct,validation,0
16,1.977009359467835,reference_rms,selected,0.0884633988816574,3416,oct,validation,0
16,0.0008747975632910964,zeroth_moment_l1_normalized,selected,3.6716161603387415e-06,3416,oct,validation,0
16,6.739727345228591e-05,first_moment_l1_radius_normalized,selected,3.5278117650351935e-06,3416,oct,validation,0
16,0.0018280053311067691,full_band_nrmse,selected,5.8682910825540565e-05,3416,cfp,test,0
16,0.0009364031878701443,low_band_nrmse,selected,1.9982683433225363e-05,3416,cfp,test,0
16,0.0026041190149054738,absolute_rmse,selected,7.86104445589301e-05,3416,cfp,test,0
16,1.425410409980564,reference_rms,selected,0.0485180699178273,3416,cfp,test,0
16,0.00038486842794315033,zeroth_moment_l1_normalized,selected,1.0728181442055583e-05,3416,cfp,test,0
16,8.803055681451168e-05,first_moment_l1_radius_normalized,selected,4.736363246247388e-06,3416,cfp,test,0
16,0.0022814497521086168,full_band_nrmse,selected,3.089798933684286e-05,3416,oct,test,0
16,0.0014831483216548418,low_band_nrmse,selected,6.8622691591910635e-06,3416,oct,test,0
16,0.004578839853779907,absolute_rmse,selected,0.00013437007862691434,3416,oct,test,0
16,2.0069755828625278,reference_rms,selected,0.05158072508070255,3416,oct,test,0
16,0.0008756161339748276,zeroth_moment_l1_normalized,selected,2.7980364685302425e-06,3416,oct,test,0
16,6.657033871645412e-05,first_moment_l1_radius_normalized,selected,4.2036210867691605e-06,3416,oct,test,0
16,0.0018793362784746649,full_band_nrmse,constructed_initial,2.978578575770069e-05,3417,cfp,train,0
16,0.0009624377879107394,low_band_nrmse,constructed_initial,1.2806879786548783e-05,3417,cfp,train,0
16,0.0027011798757895773,absolute_rmse,constructed_initial,5.5278491471488996e-05,3417,cfp,train,0
16,1.4375903524447056,reference_rms,constructed_initial,0.03522077492570216,3417,cfp,train,0
16,0.00039037765547920804,zeroth_moment_l1_normalized,constructed_initial,5.575196602063442e-06,3417,cfp,train,0
16,8.271424388592816e-05,first_moment_l1_radius_normalized,constructed_initial,2.9967632034922103e-06,3417,cfp,train,0
16,0.0024723915433534486,full_band_nrmse,constructed_initial,5.083112713765498e-05,3417,oct,train,0
16,0.0015130950384022479,low_band_nrmse,constructed_initial,1.9909865283254443e-05,3417,oct,train,0
16,0.005247172218094301,absolute_rmse,constructed_initial,0.00014526921483071407,3417,oct,train,0
16,2.122788420165342,reference_rms,constructed_initial,0.06086478282520949,3417,oct,train,0
16,0.0008381582225960584,zeroth_moment_l1_normalized,constructed_initial,8.057083595294972e-06,3417,oct,train,0
16,6.094470798218342e-05,first_moment_l1_radius_normalized,constructed_initial,4.088514392718154e-06,3417,oct,train,0
16,0.0018873503251199712,full_band_nrmse,constructed_initial,3.7664481904497885e-05,3417,cfp,validation,0
