id,kind,seed,mode,best_epoch,stop_epoch,seconds,cfp_f1_percent,oct_f1_percent,branch_mean_f1_percent,host,backbone_lr,host_best_epoch,state
frozen_radon_seed3416,frozen_training,3416,radon,7,13,103.06908102100715,68.20695644225057,66.17761323643676,67.19228483934367,,,,
frozen_radon_seed3417,frozen_training,3417,radon,5,11,90.4450562330021,64.1875542163174,65.02316960148285,64.60536190890012,,,,
frozen_radon_seed3418,frozen_training,3418,radon,11,17,134.97626526397653,67.18441053774502,68.24324324324324,67.71382689049413,,,,
frozen_linear_resample_seed3416,frozen_training,3416,linear_resample,0,8,61.03838032801286,66.8903803131991,65.13545347467608,66.01291689393759,,,,
frozen_linear_resample_seed3417,frozen_training,3417,linear_resample,0,8,60.94748748300481,63.847637745842235,64.1875542163174,64.01759598107981,,,,
frozen_linear_resample_seed3418,frozen_training,3418,linear_resample,0,8,67.40472826399491,65.87798892883639,64.1875542163174,65.03277157257689,,,,
parent_seed3416,frozen_parent_reference,3416,,,,,66.8903803131991,65.13545347467608,66.01291689393759,,,,
parent_seed3417,frozen_parent_reference,3417,,,,,63.847637745842235,64.1875542163174,64.01759598107981,,,,
parent_seed3418,frozen_parent_reference,3418,,,,,65.87798892883639,64.1875542163174,65.03277157257689,,,,
switch_branch_mmtm_hidden256_lr3e-05_seed3416_augment_radon_both_on,component_diagnostic,3416,radon,,,,71.28345602921874,63.17525537864521,67.22935570393197,mmtm_hidden256,3e-05,0,both_on
switch_branch_mmtm_hidden256_lr3e-05_seed3416_augment_radon_host_only,component_diagnostic,3416,radon,,,,48.89713461142033,57.78635778635779,53.341746198889055,mmtm_hidden256,3e-05,0,host_only
switch_branch_mmtm_hidden256_lr3e-05_seed3416_augment_radon_new_only,component_diagnostic,3416,radon,,,,70.8808053077099,62.822562228819365,66.85168376826464,mmtm_hidden256,3e-05,0,new_only
switch_branch_mmtm_hidden256_lr3e-05_seed3416_augment_radon_both_off,component_diagnostic,3416,radon,,,,41.60608109040242,57.767637105427625,49.68685909791502,mmtm_hidden256,3e-05,0,both_off
switch_branch_mmtm_hidden256_lr3e-05_seed3416_augment_linear_resample_both_on,component_diagnostic,3416,linear_resample,,,,66.8903803131991,65.13545347467608,66.01291689393759,mmtm_hidden256,3e-05,0,both_on
switch_branch_mmtm_hidden256_lr3e-05_seed3416_augment_linear_resample_host_only,component_diagnostic,3416,linear_resample,,,,66.8903803131991,65.13545347467608,66.01291689393759,mmtm_hidden256,3e-05,0,host_only
switch_branch_mmtm_hidden256_lr3e-05_seed3416_augment_linear_resample_new_only,component_diagnostic,3416,linear_resample,,,,66.8903803131991,65.13545347467608,66.01291689393759,mmtm_hidden256,3e-05,0,new_only
switch_branch_mmtm_hidden256_lr3e-05_seed3416_augment_linear_resample_both_off,component_diagnostic,3416,linear_resample,,,,66.8903803131991,65.13545347467608,66.01291689393759,mmtm_hidden256,3e-05,0,both_off
switch_branch_mmtm_hidden256_lr3e-05_seed3417_augment_radon_both_on,component_diagnostic,3417,radon,,,,68.20695644225057,62.47901606769673,65.34298625497365,mmtm_hidden256,3e-05,0,both_on
switch_branch_mmtm_hidden256_lr3e-05_seed3417_augment_radon_host_only,component_diagnostic,3417,radon,,,,61.02007397483023,33.33333333333333,47.17670365408178,mmtm_hidden256,3e-05,0,host_only
switch_branch_mmtm_hidden256_lr3e-05_seed3417_augment_radon_new_only,component_diagnostic,3417,radon,,,,68.57785336788156,63.12474998571347,65.85130167679752,mmtm_hidden256,3e-05,0,new_only
switch_branch_mmtm_hidden256_lr3e-05_seed3417_augment_radon_both_off,component_diagnostic,3417,radon,,,,59.34065934065934,33.33333333333333,46.336996336996336,mmtm_hidden256,3e-05,0,both_off
switch_branch_mmtm_hidden256_lr3e-05_seed3417_augment_linear_resample_both_on,component_diagnostic,3417,linear_resample,,,,63.847637745842235,64.1875542163174,64.01759598107981,mmtm_hidden256,3e-05,0,both_on
switch_branch_mmtm_hidden256_lr3e-05_seed3417_augment_linear_resample_host_only,component_diagnostic,3417,linear_resample,,,,63.847637745842235,64.1875542163174,64.01759598107981,mmtm_hidden256,3e-05,0,host_only
