id,seed,method,rho,r,h,M,S,cfp_f1_percent,oct_f1_percent,mean_branch_f1_percent,fused_f1_percent,cfp_gain_pp,oct_gain_pp,mean_gain_pp,best_epoch,stop_epoch,total_parameters,stored_bridge_parameters,effective_bridge_parameters,training_gpu_minutes,peak_process_mib,summary_sha256,predictions_sha256,checkpoint_sha256,parent_cfp_sha256,parent_oct_sha256
seed3416_channel_svd_radon_rho1_16,3416,Learned channel / Radon,1/16,16,512,32,64,67.41882223445239,67.09414933241649,67.25648578343444,68.42213937482077,0.5284419212532896,1.958695857740409,1.2435688894968564,7,13,47500676,3162112,3162112,3.752620699900096,7906,c1b79673514109a4f743f29058f6c95c83838c60c2831bb59c0fc17ffbec4c38,fefc150f4139f6e4b6e342f792d456487db1a72449d3d3a322e1594a0fd66fd3,1252ed97e8e697b2a093931c0acb10dfaaee044ab6bec6fb3b66523ec49d1a2e,d7228d326c3739380eee3d6710c299d6687a6551137033472013b923c13b730e,10dca6b8599f1472cf50320e9f0e2dffc3434ccdedc839af82bc7c5d506a54f5
seed3416_channel_svd_self_rho1_16,3416,Learned channel / Self only,1/16,16,512,32,64,66.8903803131991,65.13545347467608,66.01291689393759,70.59166124224879,0.0,0.0,0.0,0,8,47500676,3162112,1589248,2.4260576108332317,7906,31557a37ab0c4c2bdcdc15773b39fa7ba8523c8fa7fbc378f15d75688e4564d4,2858f087207b5105660c0c821acd6fae7bccfb1ad4c2bc220999c0127e698906,700d1312806f9e9684e383cf50f87520ceba70424d7e3d2d5e8fd665239a406a,d7228d326c3739380eee3d6710c299d6687a6551137033472013b923c13b730e,10dca6b8599f1472cf50320e9f0e2dffc3434ccdedc839af82bc7c5d506a54f5
seed3416_channel_svd_scrambled_rho1_16,3416,Learned channel / Scrambled Radon,1/16,16,512,32,64,68.15018315018315,65.51535087719299,66.83276701368807,67.82277351214657,1.2598028369840506,0.37989740251690307,0.8198501197504839,7,13,47500676,3162112,3162112,3.773301518633525,7906,f94ff1be724764bcd232059441c69c7ba9c4e08b90e821e37f3d1d368b1054ff,c5899eac589fcf71c13e456f303ae50e12082ecf382859b0411f6e2774edf14b,a2500e88c1ac0b8ea0de044ec78bdc526f96b73f7f916a059995df25f654cd8c,d7228d326c3739380eee3d6710c299d6687a6551137033472013b923c13b730e,10dca6b8599f1472cf50320e9f0e2dffc3434ccdedc839af82bc7c5d506a54f5
seed3416_channel_svd_resample_rho1_16,3416,Learned channel / Linear resampling,1/16,16,512,N/A (packing32),64,66.8903803131991,65.13545347467608,66.01291689393759,70.59166124224879,0.0,0.0,0.0,0,8,47500676,3162112,3162112,2.2876774509667785,7848,5b34f885950077325e2fb8447101a12af97fef679356db6915afd8c38412de6c,2858f087207b5105660c0c821acd6fae7bccfb1ad4c2bc220999c0127e698906,e4efd32301e36d02b9474cd3b1d3cc4782ede71f5a7a44eeffb5a534f27999f2,d7228d326c3739380eee3d6710c299d6687a6551137033472013b923c13b730e,10dca6b8599f1472cf50320e9f0e2dffc3434ccdedc839af82bc7c5d506a54f5
seed3416_channel_svd_radon_rho1_8,3416,Learned channel / Radon,1/8,32,1024,32,64,70.92470760233918,68.24324324324324,69.58397542279121,68.90614295501256,4.03432728914008,3.1077897685671587,3.5710585288536265,10,16,56954244,12615680,12615680,4.723925128983198,8012,4b39b18528436d826401efa8f8155de14bb7c2bea7dd83d52bd3e065068eba6b,e099dc9fd79396098d724749996efcde70fe3d30406ec7a21c87314643102613,5b98a7573e681cd231cb4ae1da20f7cdce9773f20283bbd984d7e00cb607133e,d7228d326c3739380eee3d6710c299d6687a6551137033472013b923c13b730e,10dca6b8599f1472cf50320e9f0e2dffc3434ccdedc839af82bc7c5d506a54f5
seed3416_channel_svd_self_rho1_8,3416,Learned channel / Self only,1/8,32,1024,32,64,66.8903803131991,65.13545347467608,66.01291689393759,70.59166124224879,0.0,0.0,0.0,0,8,56954244,12615680,6324224,2.511319310983284,8012,c39785e716e4653fc3210da05879963a83383c7235bae4fd588098fcc2c94880,2858f087207b5105660c0c821acd6fae7bccfb1ad4c2bc220999c0127e698906,7a8763f89b0711a1b0b2c6cbddb54198dcda02951824d878ab1b1700a646f407,d7228d326c3739380eee3d6710c299d6687a6551137033472013b923c13b730e,10dca6b8599f1472cf50320e9f0e2dffc3434ccdedc839af82bc7c5d506a54f5
seed3416_channel_svd_scrambled_rho1_8,3416,Learned channel / Scrambled Radon,1/8,32,1024,32,64,71.60995661109843,67.77262048020171,69.69128854565007,72.28591002511988,4.719576297899323,2.637167005525626,3.6783716517124816,10,16,56954244,12615680,12615680,4.7991429199501,8012,5aa9520ac383a75892cb6c25a494649da5d4f9d3edeb6fe05b8dcc1944787bd8,25e5f6eaa0ec816e4ba98f8ae87c2a58c11da7b607b478da75eae112fd3f4aa2,3e5a8ba04267cb736af7cf9188009dd6088bb80fcfe7e58b8f4026bc5e123faa,d7228d326c3739380eee3d6710c299d6687a6551137033472013b923c13b730e,10dca6b8599f1472cf50320e9f0e2dffc3434ccdedc839af82bc7c5d506a54f5
seed3416_channel_svd_resample_rho1_8,3416,Learned channel / Linear resampling,1/8,32,1024,N/A (packing32),64,66.8903803131991,65.13545347467608,66.01291689393759,70.59166124224879,0.0,0.0,0.0,0,8,56954244,12615680,12615680,2.3395216200832993,8154,7999be12edefec02df0b19c165f8dc04424169e25136d39a9f811b500bb50a4c,2858f087207b5105660c0c821acd6fae7bccfb1ad4c2bc220999c0127e698906,98576b37663f7e5c86aeb6ad849a74b207b7cc3216c45191edbb4f166d9d3b8c,d7228d326c3739380eee3d6710c299d6687a6551137033472013b923c13b730e,10dca6b8599f1472cf50320e9f0e2dffc3434ccdedc839af82bc7c5d506a54f5
seed3416_channel_svd_radon_rho1_4,3416,Learned channel / Radon,1/4,64,2048,32,64,71.2677150067948,72.61982253588681,71.94376877134081,70.91274738333561,4.377334693595699,7.484369061210728,5.930851877403228,11,17,94735748,50397184,50397184,5.650043521899836,8114,544a6e2a43d8641eddea2046852ded75542b233db6504b7aeeedde5364649a03,cbf1d90f90374b8d4b4445d5791047f2f1b4aefff982420d4e06022910a4402f,37ad6ba68a6dac56b2091324c4496cef96069df9cce9efb377e60368f4c0eba1,d7228d326c3739380eee3d6710c299d6687a6551137033472013b923c13b730e,10dca6b8599f1472cf50320e9f0e2dffc3434ccdedc839af82bc7c5d506a54f5
seed3416_channel_svd_self_rho1_4,3416,Learned channel / Self only,1/4,64,2048,32,64,66.8903803131991,65.13545347467608,66.01291689393759,70.59166124224879,0.0,0.0,0.0,0,8,94735748,50397184,25231360,2.9072220793333448,8114,20b8ed197f4719d557ac20c83cef7ded5bd8e328042a459a4b22f0c614201501,2858f087207b5105660c0c821acd6fae7bccfb1ad4c2bc220999c0127e698906,a91d536e0542ccc5ef598a188df8935a07492feb4502ece1442c1813969ecd06,d7228d326c3739380eee3d6710c299d6687a6551137033472013b923c13b730e,10dca6b8599f1472cf50320e9f0e2dffc3434ccdedc839af82bc7c5d506a54f5
