model_view_id,checkpoint_sha256,split,condition,metric,paired_minus_perturbed_pp
1dbc6762e6f18dd4d362fe11ef1f08e571ae863d22c0ace7f1784e11edd3c130,a44472cbb15d9c19cb2933ed47a59a0382766c7a732293bb311f11ca6f788bca,test,disable_both,cfp,17.648062963383694
1dbc6762e6f18dd4d362fe11ef1f08e571ae863d22c0ace7f1784e11edd3c130,a44472cbb15d9c19cb2933ed47a59a0382766c7a732293bb311f11ca6f788bca,test,disable_both,oct,18.731841163080652
1dbc6762e6f18dd4d362fe11ef1f08e571ae863d22c0ace7f1784e11edd3c130,a44472cbb15d9c19cb2933ed47a59a0382766c7a732293bb311f11ca6f788bca,test,disable_both,mean,18.189952063232173
1dbc6762e6f18dd4d362fe11ef1f08e571ae863d22c0ace7f1784e11edd3c130,a44472cbb15d9c19cb2933ed47a59a0382766c7a732293bb311f11ca6f788bca,test,shuffle_oct_to_cfp,cfp,3.819953153924982
1dbc6762e6f18dd4d362fe11ef1f08e571ae863d22c0ace7f1784e11edd3c130,a44472cbb15d9c19cb2933ed47a59a0382766c7a732293bb311f11ca6f788bca,test,shuffle_oct_to_cfp,oct,0.0
1dbc6762e6f18dd4d362fe11ef1f08e571ae863d22c0ace7f1784e11edd3c130,a44472cbb15d9c19cb2933ed47a59a0382766c7a732293bb311f11ca6f788bca,test,shuffle_oct_to_cfp,mean,1.909976576962491
1dbc6762e6f18dd4d362fe11ef1f08e571ae863d22c0ace7f1784e11edd3c130,a44472cbb15d9c19cb2933ed47a59a0382766c7a732293bb311f11ca6f788bca,test,shuffle_cfp_to_oct,cfp,0.0
1dbc6762e6f18dd4d362fe11ef1f08e571ae863d22c0ace7f1784e11edd3c130,a44472cbb15d9c19cb2933ed47a59a0382766c7a732293bb311f11ca6f788bca,test,shuffle_cfp_to_oct,oct,7.913103776583075
1dbc6762e6f18dd4d362fe11ef1f08e571ae863d22c0ace7f1784e11edd3c130,a44472cbb15d9c19cb2933ed47a59a0382766c7a732293bb311f11ca6f788bca,test,shuffle_cfp_to_oct,mean,3.9565518882915374
1dbc6762e6f18dd4d362fe11ef1f08e571ae863d22c0ace7f1784e11edd3c130,a44472cbb15d9c19cb2933ed47a59a0382766c7a732293bb311f11ca6f788bca,test,shuffle_both,cfp,3.819953153924982
1dbc6762e6f18dd4d362fe11ef1f08e571ae863d22c0ace7f1784e11edd3c130,a44472cbb15d9c19cb2933ed47a59a0382766c7a732293bb311f11ca6f788bca,test,shuffle_both,oct,7.913103776583075
1dbc6762e6f18dd4d362fe11ef1f08e571ae863d22c0ace7f1784e11edd3c130,a44472cbb15d9c19cb2933ed47a59a0382766c7a732293bb311f11ca6f788bca,test,shuffle_both,mean,5.866528465254028
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,development,disable_oct_to_cfp,cfp,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,development,disable_oct_to_cfp,oct,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,development,disable_oct_to_cfp,mean,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,development,disable_cfp_to_oct,cfp,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,development,disable_cfp_to_oct,oct,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,development,disable_cfp_to_oct,mean,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,development,disable_both,cfp,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,development,disable_both,oct,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,development,disable_both,mean,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,development,shuffle_oct_to_cfp,cfp,0.0
