protocol,structure,backbone_lr,metric,count,mean_percent,sample_sd_pp
branch,linear_resample_M16_S64_k3_r31,3e-05,oct_macro_f1,3,65.40496652762846,1.3721656351063143
branch,linear_resample_M16_S64_k3_r31,3e-05,branch_mean_macro_f1,3,66.034887251417,2.0283656909778007
branch,linear_resample_M16_S64_k3_r31,3e-05,primary_macro_f1,3,66.034887251417,2.0283656909778007
branch,linear_resample_M16_S64_k3_r31,3e-05,late_fusion_macro_f1,3,68.0112978608952,3.640135250265887
branch,linear_resample_M16_S64_k3_r31,6e-05,cfp_macro_f1,3,65.53866899595924,1.54949156029879
branch,linear_resample_M16_S64_k3_r31,6e-05,oct_macro_f1,3,64.5035206357703,0.5472698919780355
branch,linear_resample_M16_S64_k3_r31,6e-05,branch_mean_macro_f1,3,65.02109481586477,0.9977117050067115
branch,linear_resample_M16_S64_k3_r31,6e-05,primary_macro_f1,3,65.02109481586477,0.9977117050067115
branch,linear_resample_M16_S64_k3_r31,6e-05,late_fusion_macro_f1,3,67.66376891880408,3.4586398222949715
branch,linear_resample_M16_S64_k3_r32,3e-05,cfp_macro_f1,3,65.62616311569204,1.5852303475852525
branch,linear_resample_M16_S64_k3_r32,3e-05,oct_macro_f1,3,64.57754681687369,0.4957565924572955
branch,linear_resample_M16_S64_k3_r32,3e-05,branch_mean_macro_f1,3,65.10185496628286,1.008872787758428
branch,linear_resample_M16_S64_k3_r32,3e-05,primary_macro_f1,3,65.10185496628286,1.008872787758428
branch,linear_resample_M16_S64_k3_r32,3e-05,late_fusion_macro_f1,3,68.12379608073806,3.7179169410712065
branch,linear_resample_M16_S64_k3_r32,6e-05,cfp_macro_f1,3,65.53866899595924,1.54949156029879
branch,linear_resample_M16_S64_k3_r32,6e-05,oct_macro_f1,3,64.5035206357703,0.5472698919780355
branch,linear_resample_M16_S64_k3_r32,6e-05,branch_mean_macro_f1,3,65.02109481586477,0.9977117050067115
branch,linear_resample_M16_S64_k3_r32,6e-05,primary_macro_f1,3,65.02109481586477,0.9977117050067115
branch,linear_resample_M16_S64_k3_r32,6e-05,late_fusion_macro_f1,3,67.66376891880408,3.4586398222949715
branch,radon_M16_S64_k3_r32,3e-05,cfp_macro_f1,3,69.1279501560936,0.5150336387958814
