id,training_id,seed,arm,regime,rho,r,h,cfp_f1_percent,oct_f1_percent,mean_f1_percent,best_epoch,stop_epoch,prediction_sha256,selected_sha256
seed3416_qr_oct_to_cfp_rho1_4,seed3416_qr_oct_to_cfp_rho1_4,3416,qr_oct_to_cfp,independent_width,0.25,64,2048,72.92847997073349,63.272058823529406,68.10026939713146,10,14,735117e130c7ac804f6c8036bddf62515e9f6c81d5a24c42801f4147e8e2cf72,a9b09385d88a3ed55becea93133c24a9134acca2ba3b509c3c9e11bde22d1828
seed3416_qr_cfp_to_oct_rho1_4,seed3416_qr_cfp_to_oct_rho1_4,3416,qr_cfp_to_oct,independent_width,0.25,64,2048,65.52637588490524,68.56349994861077,67.044937916758,12,18,025bfa6b175992cabb9d397235b27c9c5910329ede400d8539bc0c67523330b8,f363a0d527da251d59c5aba6b0dba6a8cb7e6e075341f7dba0f307defe625b76
seed3417_qr_resample_rho1_16,seed3417_qr_resample_rho1_16,3417,qr_resample,independent_width,0.0625,16,512,63.847637745842235,64.1875542163174,64.01759598107981,0,8,0d12cca1f3fba7e07a8ced1625ee072883cd009dbf0a11568cc31ca4af018ef2,ca3abc54892b79eccce0f2931437a3600efed337d5118aa21f3809e26ee871d5
seed3417_svd_oct_to_cfp_rho1_16,seed3417_svd_oct_to_cfp_rho1_16,3417,svd_oct_to_cfp,independent_width,0.0625,16,512,65.86863947209189,62.822562228819365,64.34560085045563,11,13,ff386f5f353a46f5fd0065a9da0ed9450f8d03881776f65992310a0a8313765a,628b98a38679e0745d53e0dabdd87b92726d7af50bd24a2d421b9dd44e31d35d
seed3417_svd_cfp_to_oct_rho1_16,seed3417_svd_cfp_to_oct_rho1_16,3417,svd_cfp_to_oct,independent_width,0.0625,16,512,63.847637745842235,64.1875542163174,64.01759598107981,0,8,0d12cca1f3fba7e07a8ced1625ee072883cd009dbf0a11568cc31ca4af018ef2,3383d81ec4168a4848ba5f3d71cfc320445bd7276d829d7526ba741d52e6b310
seed3417_qr_oct_to_cfp_rho1_16,seed3417_qr_oct_to_cfp_rho1_16,3417,qr_oct_to_cfp,independent_width,0.0625,16,512,63.847637745842235,64.1875542163174,64.01759598107981,0,8,0d12cca1f3fba7e07a8ced1625ee072883cd009dbf0a11568cc31ca4af018ef2,88ac9d73732ad6442d966af903273fce694676ee2bbaf3d1af00de4bdbf1f304
seed3417_qr_cfp_to_oct_rho1_16,seed3417_qr_cfp_to_oct_rho1_16,3417,qr_cfp_to_oct,independent_width,0.0625,16,512,63.847637745842235,64.1875542163174,64.01759598107981,0,8,0d12cca1f3fba7e07a8ced1625ee072883cd009dbf0a11568cc31ca4af018ef2,fd1d53a75c6cc2a66f6a543cf240c5c39dcdf2bf8983e24cd189549ebf7cf4b2
seed3417_qr_resample_rho1_8,seed3417_qr_resample_rho1_8,3417,qr_resample,independent_width,0.125,32,1024,63.847637745842235,64.1875542163174,64.01759598107981,0,8,0d12cca1f3fba7e07a8ced1625ee072883cd009dbf0a11568cc31ca4af018ef2,0ea4a3bd17ff448eab31c08c170e684dd202e203b4adff4fa0996f489230374f
seed3417_svd_oct_to_cfp_rho1_8,seed3417_svd_oct_to_cfp_rho1_8,3417,svd_oct_to_cfp,independent_width,0.125,32,1024,67.90503909147976,64.1891891891892,66.04711414033449,8,14,76b1b360fb961f6487793200725569d5d5a3360bc7ac84f928ee60eabfbf95f3,5776a12a92fc58c6f4f3352d227539b1e7907c642d7adea8c9c4607d1a041ee7
seed3417_svd_cfp_to_oct_rho1_8,seed3417_svd_cfp_to_oct_rho1_8,3417,svd_cfp_to_oct,independent_width,0.125,32,1024,63.847637745842235,64.1875542163174,64.01759598107981,0,8,0d12cca1f3fba7e07a8ced1625ee072883cd009dbf0a11568cc31ca4af018ef2,a4d06165b8c33d8f4c1e5a8ae9356bf4cc1cb60d72e51b73caa4a9470767b868
