id,training_id,seed,arm,regime,rho,r,h,cfp_f1_percent,oct_f1_percent,mean_f1_percent,best_epoch,stop_epoch,prediction_sha256,selected_sha256
seed3417_nested_qr_rho1_4_view16,seed3417_nested_qr_rho1_4,3417,nested_qr,joint_width,0.0625,16,512,63.847637745842235,64.1875542163174,64.01759598107981,0,8,0d12cca1f3fba7e07a8ced1625ee072883cd009dbf0a11568cc31ca4af018ef2,72dcbfaad9568d1c810bc80e835808629afd734c5b0e775ee4960cfd3c291d72
seed3417_nested_qr_rho1_4_view8,seed3417_nested_qr_rho1_4,3417,nested_qr,joint_width,0.125,32,1024,63.847637745842235,64.1875542163174,64.01759598107981,0,8,0d12cca1f3fba7e07a8ced1625ee072883cd009dbf0a11568cc31ca4af018ef2,56e833b0269f51ca71112841b80f2070a417564eebee3d5ba0a1f87c8b0f851d
seed3417_nested_qr_rho1_4_view4,seed3417_nested_qr_rho1_4,3417,nested_qr,joint_width,0.25,64,2048,63.847637745842235,64.1875542163174,64.01759598107981,0,8,0d12cca1f3fba7e07a8ced1625ee072883cd009dbf0a11568cc31ca4af018ef2,ceb842050c9bd705e42f3cad48f3bb07fd8e4120cfdc9478a4709fb8b691fd3b
seed3418_nested_learned_channel_rho1_4_view16,seed3418_nested_learned_channel_rho1_4,3418,nested_learned_channel,joint_width,0.0625,16,512,65.87798892883639,64.1875542163174,65.03277157257689,0,8,c7a857505ce62d0039a10fc876d34c88560f1cfa9301741a27a4eff52202e933,b172010c156b3be76fd8ac3bead3245cc84a103f00371d885b44171dade57700
seed3418_nested_learned_channel_rho1_4_view8,seed3418_nested_learned_channel_rho1_4,3418,nested_learned_channel,joint_width,0.125,32,1024,65.87798892883639,64.1875542163174,65.03277157257689,0,8,c7a857505ce62d0039a10fc876d34c88560f1cfa9301741a27a4eff52202e933,1b3576d30c5314962b35e188b9ca5f026402ff57aa78d8d336e04b4b60d4fcc3
seed3418_nested_learned_channel_rho1_4_view4,seed3418_nested_learned_channel_rho1_4,3418,nested_learned_channel,joint_width,0.25,64,2048,65.87798892883639,64.1875542163174,65.03277157257689,0,8,c7a857505ce62d0039a10fc876d34c88560f1cfa9301741a27a4eff52202e933,162b13f933f7fe6cefa2cb63b4e51ef884a0374027a8f62da2b4ec402fe7957d
seed3418_nested_svd_rho1_4_view16,seed3418_nested_svd_rho1_4,3418,nested_svd,joint_width,0.0625,16,512,65.87798892883639,64.1875542163174,65.03277157257689,0,8,c7a857505ce62d0039a10fc876d34c88560f1cfa9301741a27a4eff52202e933,dfea80fdd56dde83f305d09b69c03a6bedbf1e7a6d765956628f0c04f0c2410c
seed3418_nested_svd_rho1_4_view8,seed3418_nested_svd_rho1_4,3418,nested_svd,joint_width,0.125,32,1024,65.87798892883639,64.1875542163174,65.03277157257689,0,8,c7a857505ce62d0039a10fc876d34c88560f1cfa9301741a27a4eff52202e933,3b809392614e5c36355e4ffe550efbb548be62459dbec37c50e9acf7e74831f5
seed3418_nested_svd_rho1_4_view4,seed3418_nested_svd_rho1_4,3418,nested_svd,joint_width,0.25,64,2048,65.87798892883639,64.1875542163174,65.03277157257689,0,8,c7a857505ce62d0039a10fc876d34c88560f1cfa9301741a27a4eff52202e933,d1e5f9652ed01e748effee82bed6b11793b93bc4dccc364828f04ef7c0f947cd
seed3418_nested_qr_rho1_4_view16,seed3418_nested_qr_rho1_4,3418,nested_qr,joint_width,0.0625,16,512,65.87798892883639,64.1875542163174,65.03277157257689,0,8,c7a857505ce62d0039a10fc876d34c88560f1cfa9301741a27a4eff52202e933,812ca816b1eec472f4cbd491f4fbc7c224d0d18cddb6ae8bb6af80cc4fc1c89c
seed3418_nested_qr_rho1_4_view8,seed3418_nested_qr_rho1_4,3418,nested_qr,joint_width,0.125,32,1024,65.87798892883639,64.1875542163174,65.03277157257689,0,8,c7a857505ce62d0039a10fc876d34c88560f1cfa9301741a27a4eff52202e933,eda4f72a1867278ceba1c73412e055c3a6296983086d673a34bacdbab60f4a3d
seed3418_nested_qr_rho1_4_view4,seed3418_nested_qr_rho1_4,3418,nested_qr,joint_width,0.25,64,2048,65.87798892883639,64.1875542163174,65.03277157257689,0,8,c7a857505ce62d0039a10fc876d34c88560f1cfa9301741a27a4eff52202e933,6fd55b377813bb4bbcd215e4d2473f661af38a1abc5f5a31f086fa64c19327e8
