method,split,branch,field,value,n,mean_error_rate
mmtm_hidden1024,test,cfp,age_band,60plus,186,0.41935483870967744
mmtm_hidden1024,test,cfp,age_band,under60,104,0.3942307692307692
mmtm_hidden1024,test,cfp,centre,11014,48,0.4097222222222222
mmtm_hidden1024,test,cfp,centre,11018,28,0.42857142857142855
mmtm_hidden1024,test,cfp,centre,11020,46,0.427536231884058
mmtm_hidden1024,test,cfp,centre,11021,60,0.40555555555555556
mmtm_hidden1024,test,cfp,centre,11024,90,0.3962962962962963
mmtm_hidden1024,test,oct,sex,0,118,0.4350282485875706
mmtm_hidden1024,test,oct,sex,1,172,0.4166666666666667
mmtm_hidden1024,test,oct,label,0,145,0.40229885057471265
mmtm_hidden1024,test,oct,label,1,145,0.4459770114942529
mmtm_hidden1024,test,oct,age_band,60plus,186,0.3924731182795699
mmtm_hidden1024,test,oct,age_band,under60,104,0.4807692307692308
mmtm_hidden1024,test,oct,centre,11014,48,0.375
mmtm_hidden1024,test,oct,centre,11018,28,0.47619047619047616
mmtm_hidden1024,test,oct,centre,11020,46,0.38405797101449274
mmtm_hidden1024,test,oct,centre,11021,60,0.43333333333333335
mmtm_hidden1024,test,oct,centre,11024,90,0.4703703703703704
attention_d256,validation,cfp,sex,0,138,0.2886473429951691
attention_d256,validation,cfp,sex,1,158,0.39662447257383965
attention_d256,validation,cfp,label,0,148,0.3400900900900901
attention_d256,validation,cfp,label,1,148,0.3524774774774775
attention_d256,validation,cfp,age_band,60plus,212,0.3671383647798742
attention_d256,validation,cfp,age_band,under60,84,0.29365079365079366
attention_d256,validation,cfp,centre,11014,48,0.34375
attention_d256,validation,cfp,centre,11016,22,0.2727272727272727
attention_d256,validation,cfp,centre,11018,42,0.4126984126984127
attention_d256,validation,cfp,centre,11020,44,0.3409090909090909
attention_d256,validation,cfp,centre,11021,64,0.328125
attention_d256,validation,cfp,centre,11024,74,0.34684684684684686
attention_d256,validation,oct,sex,0,138,0.32004830917874394
attention_d256,validation,oct,sex,1,158,0.3649789029535865
attention_d256,validation,oct,label,0,148,0.34684684684684686
attention_d256,validation,oct,label,1,148,0.34121621621621623
attention_d256,validation,oct,age_band,60plus,212,0.3561320754716981
attention_d256,validation,oct,age_band,under60,84,0.3134920634920635
attention_d256,validation,oct,centre,11014,48,0.3541666666666667
attention_d256,validation,oct,centre,11016,22,0.48484848484848486
attention_d256,validation,oct,centre,11018,42,0.35714285714285715
attention_d256,validation,oct,centre,11020,44,0.2803030303030303
attention_d256,validation,oct,centre,11021,64,0.3333333333333333
attention_d256,validation,oct,centre,11024,74,0.32882882882882886
attention_d256,test,cfp,sex,0,118,0.4392655367231638
attention_d256,test,cfp,sex,1,172,0.3808139534883721
attention_d256,test,cfp,label,0,145,0.41724137931034483
attention_d256,test,cfp,label,1,145,0.39195402298850573
attention_d256,test,cfp,age_band,60plus,186,0.40770609318996415
attention_d256,test,cfp,age_band,under60,104,0.39903846153846156
attention_d256,test,cfp,centre,11014,48,0.3819444444444444
attention_d256,test,cfp,centre,11018,28,0.42857142857142855
attention_d256,test,cfp,centre,11020,46,0.44565217391304346
attention_d256,test,cfp,centre,11021,60,0.36944444444444446
attention_d256,test,cfp,centre,11024,90,0.4148148148148148
attention_d256,test,oct,sex,0,118,0.4307909604519774
attention_d256,test,oct,sex,1,172,0.4021317829457364
attention_d256,test,oct,label,0,145,0.3954022988505747
attention_d256,test,oct,label,1,145,0.432183908045977
attention_d256,test,oct,age_band,60plus,186,0.3888888888888889
attention_d256,test,oct,age_band,under60,104,0.4583333333333333
attention_d256,test,oct,centre,11014,48,0.3680555555555556
attention_d256,test,oct,centre,11018,28,0.4523809523809524
attention_d256,test,oct,centre,11020,46,0.36594202898550726
attention_d256,test,oct,centre,11021,60,0.42777777777777776
attention_d256,test,oct,centre,11024,90,0.4648148148148148
attention_d1024,validation,cfp,sex,0,138,0.286231884057971
attention_d1024,validation,cfp,sex,1,158,0.3681434599156118
attention_d1024,validation,cfp,label,0,148,0.29617117117117114
attention_d1024,validation,cfp,label,1,148,0.36373873873873874
attention_d1024,validation,cfp,age_band,60plus,212,0.35141509433962265
attention_d1024,validation,cfp,age_band,under60,84,0.2757936507936508
attention_d1024,validation,cfp,centre,11014,48,0.3090277777777778
attention_d1024,validation,cfp,centre,11016,22,0.3181818181818182
attention_d1024,validation,cfp,centre,11018,42,0.39285714285714285
attention_d1024,validation,cfp,centre,11020,44,0.3106060606060606
attention_d1024,validation,cfp,centre,11021,64,0.3072916666666667
attention_d1024,validation,cfp,centre,11024,74,0.3400900900900901
attention_d1024,validation,oct,sex,0,138,0.3248792270531401
attention_d1024,validation,oct,sex,1,158,0.3628691983122363
attention_d1024,validation,oct,label,0,148,0.31756756756756754
attention_d1024,validation,oct,label,1,148,0.37274774774774777
attention_d1024,validation,oct,age_band,60plus,212,0.35455974842767296
attention_d1024,validation,oct,age_band,under60,84,0.32142857142857145
attention_d1024,validation,oct,centre,11014,48,0.3506944444444444
attention_d1024,validation,oct,centre,11016,22,0.48484848484848486
attention_d1024,validation,oct,centre,11018,42,0.36904761904761907
attention_d1024,validation,oct,centre,11020,44,0.26515151515151514
attention_d1024,validation,oct,centre,11021,64,0.3255208333333333
attention_d1024,validation,oct,centre,11024,74,0.34234234234234234
attention_d1024,test,cfp,sex,0,118,0.4209039548022599
attention_d1024,test,cfp,sex,1,172,0.3643410852713178
attention_d1024,test,cfp,label,0,145,0.36091954022988504
attention_d1024,test,cfp,label,1,145,0.41379310344827586
attention_d1024,test,cfp,age_band,60plus,186,0.38082437275985664
attention_d1024,test,cfp,age_band,under60,104,0.39903846153846156
attention_d1024,test,cfp,centre,11014,48,0.3645833333333333
attention_d1024,test,cfp,centre,11018,28,0.38095238095238093
attention_d1024,test,cfp,centre,11020,46,0.427536231884058
attention_d1024,test,cfp,centre,11021,60,0.36666666666666664
attention_d1024,test,cfp,centre,11024,90,0.3925925925925926
attention_d1024,test,oct,sex,0,118,0.4180790960451977
attention_d1024,test,oct,sex,1,172,0.37790697674418605
attention_d1024,test,oct,label,0,145,0.3528735632183908
attention_d1024,test,oct,label,1,145,0.435632183908046
attention_d1024,test,oct,age_band,60plus,186,0.37455197132616486
attention_d1024,test,oct,age_band,under60,104,0.42948717948717946
attention_d1024,test,oct,centre,11014,48,0.3368055555555556
attention_d1024,test,oct,centre,11018,28,0.4226190476190476
attention_d1024,test,oct,centre,11020,46,0.36231884057971014
attention_d1024,test,oct,centre,11021,60,0.4083333333333333
attention_d1024,test,oct,centre,11024,90,0.43703703703703706
