method,split,branch,field,value,n,mean_error_rate
radon_M32_S64_k3_r16,validation,oct,centre,11024,74,0.32657657657657657
radon_M32_S64_k3_r16,test,cfp,sex,0,118,0.4194915254237288
radon_M32_S64_k3_r16,test,cfp,sex,1,172,0.374031007751938
radon_M32_S64_k3_r16,test,cfp,label,0,145,0.4057471264367816
radon_M32_S64_k3_r16,test,cfp,label,1,145,0.3793103448275862
radon_M32_S64_k3_r16,test,cfp,age_band,60plus,186,0.38530465949820786
radon_M32_S64_k3_r16,test,cfp,age_band,under60,104,0.40544871794871795
radon_M32_S64_k3_r16,test,cfp,centre,11014,48,0.3298611111111111
radon_M32_S64_k3_r16,test,cfp,centre,11018,28,0.4166666666666667
radon_M32_S64_k3_r16,test,cfp,centre,11020,46,0.39492753623188404
radon_M32_S64_k3_r16,test,cfp,centre,11021,60,0.3861111111111111
radon_M32_S64_k3_r16,test,cfp,centre,11024,90,0.42962962962962964
radon_M32_S64_k3_r16,test,oct,sex,0,118,0.3997175141242938
radon_M32_S64_k3_r16,test,oct,sex,1,172,0.38372093023255816
radon_M32_S64_k3_r16,test,oct,label,0,145,0.3471264367816092
radon_M32_S64_k3_r16,test,oct,label,1,145,0.43333333333333335
radon_M32_S64_k3_r16,test,oct,age_band,60plus,186,0.36917562724014336
radon_M32_S64_k3_r16,test,oct,age_band,under60,104,0.42788461538461536
radon_M32_S64_k3_r16,test,oct,centre,11014,48,0.3368055555555556
radon_M32_S64_k3_r16,test,oct,centre,11018,28,0.4166666666666667
radon_M32_S64_k3_r16,test,oct,centre,11020,46,0.37318840579710144
radon_M32_S64_k3_r16,test,oct,centre,11021,60,0.4
radon_M32_S64_k3_r16,test,oct,centre,11024,90,0.42962962962962964
linear_resample_M32_S64_k3_r32,validation,cfp,sex,0,138,0.2886473429951691
linear_resample_M32_S64_k3_r32,validation,cfp,sex,1,158,0.37236286919831224
linear_resample_M32_S64_k3_r32,validation,cfp,label,0,148,0.32882882882882886
linear_resample_M32_S64_k3_r32,validation,cfp,label,1,148,0.33783783783783783
linear_resample_M32_S64_k3_r32,validation,cfp,age_band,60plus,212,0.3553459119496855
linear_resample_M32_S64_k3_r32,validation,cfp,age_band,under60,84,0.2777777777777778
linear_resample_M32_S64_k3_r32,validation,cfp,centre,11014,48,0.3333333333333333
linear_resample_M32_S64_k3_r32,validation,cfp,centre,11016,22,0.29545454545454547
linear_resample_M32_S64_k3_r32,validation,cfp,centre,11018,42,0.4166666666666667
linear_resample_M32_S64_k3_r32,validation,cfp,centre,11020,44,0.3409090909090909
linear_resample_M32_S64_k3_r32,validation,cfp,centre,11021,64,0.2864583333333333
